prompt,completion
【フォーム|よくある質問】フォームのブロックは何個まで設置可能ですか？,ヘッダー、フッター込みで40ブロックまで追加可能です。
【スタンプラリー】,"スタンプラリーコンテンツについて
スマートフォンでスタンプ獲得用のURL（QRコード）を
読み込むごとにスタンプが獲得でき画面上にたまっていきます。
スタンプをためた数に応じて特典を得ることができます。
?スマホでQRコードをかざす

?スタンプ獲得

?獲得したスタンプ数に応じて特典GET

スタンプ取得方法
獲得URLをスマートフォンで読み込む（スタンプ獲得QRコードをスキャン）と、スタンプを獲得できます。
生成されるQRコードについて
スタンプラリーTOPにアクセスするQRコードと、
スタンプ総数分のスタンプ獲得QRコードの２種類が生成されます。
特典の種類について
2種類ございます。

・見せる引換画面タイプ（もぎり機能あり）
・応募フォームタイプ

※1コンテンツの中で、どちらか1つの選択となります。
特典を獲得できるスタンプ数を指定
スタンプの数を2つ指定可能です。

スタンプラリー参加者がスタンプを全てためてゴールする前にも
特典を獲得できるようにも設定可能です。

例えば、スタンプ総数を6個に設定し、スタンプを4個獲得したら特典Aを付与、
6個獲得したら特典Bを付与といったことができます。

※同じスタンプ数で特典A,Bを同時に2つを付与することは不可。
スタンプ総数について
最大30個まで設定可能です。
スタンプの保存方法
2種類ございます。

・会員登録（ソーシャルサインイン）を利用する
・クッキーを利用する

※クッキーを利用する場合、イベント参加者は登録不要でより手軽に参加できます。クッキーが保存されない環境での利用の場合（シークレットモードや特殊アプリ利用など）、スタンプの保存がされない場合があります。



対象プラン
全プラン
"
【スタンプラリー】QRカメラ,"1.機能説明
QRカメラを起動するボタンを設置できます。
スタンプ帳の画面からすぐにQRカメラを起動できるので
スタンプ獲得用QRコードの読み取りが簡単にできます。
（設置後のイメージ）

(QRカメラ起動時のイメージ)

2.設定方法
手順1 ブロック追加からQRカメラを選択→ブロックの編集に進む

手順2 アイコン画像、テキストなどを編集
※テキストは60文字以内で設定してください

手順3 保存ボタンをクリックし編集情報を保存する
ブラウザ上でカメラが起動しない場合
解消方法はこちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/eadcc46065d20d9281c206c6fda3f17164ee32d1/
画像を変更すると、以下のオレンジで囲んだ部分が変更されます。"
【スタンプラリー】Step5-2. 会員登録機能（ソーシャルサインイン）,"※動画はiOS端末利用時の画面になります。

コンテンツ作成時に会員登録機能をONにすると
AppleかGoogleのアカウントを利用してソーシャルサインインができます。
スタンプの取得情報をAppleかGoogleのアカウントに紐づけることで
機種変更の際にもスタンプの取得情報が引き継げます。

会員登録先は弊社株式会社ミリアドになります。
2021年10月の機能追加でLINEアカウントも利用できるようになりました。


（イメージ）

iOSからのアクセス時

Androidからのアクセス時

(イメージ)

LINEでログインを利用した場合

※ Apple,Googleアカウントでログインも選択しAndroidからアクセスした画面



設定方法
コンテンツ詳細→会員登録の各種メニューを選択する

【会員登録機能の注意事項】
?この会員登録機能はコンテンツ毎に会員ログインするのではなく、
キュリアを管理している弊社（株式会社ミリアド）のサービスに会員ログインします。

その為、会員登録情報は弊社で管理しお客様へは開示いたしませんのでご承知おきください。
?会員登録機能は、キュリア全体で共通して利用できます。

例：会員登録機能ありのコンテンツAにアクセス時に会員登録し、同じ環境で
会員登録機能ありのコンテンツBにアクセスすると、会員ログイン状態で
コンテンツBにアクセスされます。

また、他社が作成したキュリアコンテンツでも同じ会員登録情報を利用します。
ソーシャルサインイン後の画面（マイページ）
マイページでは参加中のキャンペーン一覧が確認できます


会員登録機能を利用しない場合
→クッキーの保存を利用してスタンプの取得情報を管理します。

●クッキー

・スタンプの獲得履歴を保存する日数です。
・端末によってはCookieが保存されない可能性があるため会員登録を使用する事を推奨しております。
・Cookieが保存されない環境での利用の場合スタンプの獲得履歴が残りません。

※クッキーを利用する場合、イベント参加者は登録不要でより手軽に参加できます。クッキーが保存されない環境での利用の場合（シークレットモードや特殊アプリ利用など）、スタンプの保存がされない場合があります。

"
【スタンプラリー】QRダウンロード方法,"1.QRダウンロード方法
スタンプラリーコンテンツの作成が完了しましたら、QRコードがダウンロードできます。

QRダウンロードをクリックすると、圧縮ファイルがダウンロードされます。



２.それぞれのQRコードについて
圧縮ファイルを解凍すると、スタンプラリーTOPにアクセスするQRコードと

スタンプ獲得QRコードが格納されています。



■スタンプラリーTOPにアクセスするQRコード

ファイル名:index.jpeg
■スタンプ獲得QRコード

スタンプ総数分のQRコードが生成されます。

ファイル名の最初に数字が振られており、1つ目のスタンプを貯めるには

ファイル名:1.jpeg をかざします。

以降、2つ目のスタンプを貯めるには

ファイル名:2.jpeg をかざします。

"
【スタンプラリー】Step5-1. コンテンツ詳細,"キャンペーン名称
キャンペーン名称を決定します。
管理画面（コンテンツ一覧）にコンテンツ名として出てきます。
スタンプラリーコンテンツの公開期間を設定します。
公開期間中、スタンプを獲得することができます。
キャンペーン終了後に表示されるページ
スタプラリーコンテンツの公開期間終了後、アクセスした際に表示されるページを選択します。

●キャンペーン公開終了後に表示されるページ
用意されている公開終了後に表示されるページを編集できます。
●別ページで別ページに自動誘導
外部リンクURLを設定することができます。

特典提供方法
特典の提供方法を選択します。

●見せる引換画面タイプ
クーポンなどを特典にする場合に有効な機能です。

●応募フォームタイプ
プレゼントの応募やアンケートなどの場合に有効な機能です。


クーポン利用期間
※特典提供方法：見せる引換画面タイプの場合のみ

スタンプラリー達成者が獲得できるクーポンの利用期間の設定をします。
会員登録
スタンプ獲得履歴の保存方法の選択をします。
●会員登録する
Apple IDまたは、Googleアカウント
もしくは、LINEアカウントでログイン機能が利用でき、
クッキーが保存されない環境でもスタンプの取得情報が保存されます。

●会員登録しない

→クッキーの保存を利用してスタンプの取得情報を管理します。

●クッキー

・スタンプの獲得履歴を保存する日数です。
・端末によってはCookieが保存されない可能性があるため会員登録を使用する事を推奨しております。
・Cookieが保存されない環境での利用の場合スタンプの獲得履歴が残りません。

※クッキーを利用する場合、イベント参加者は登録不要でより手軽に参加できます。クッキーが保存されない環境での利用の場合（シークレットモードや特殊アプリ利用など）、スタンプの保存がされない場合があります。

メモ
コンテンツ一覧画面内に表示されます。コンテンツ管理用のメモとしてご利用ください。
別ページでご説明しております。こちらをご参照ください。https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7c44ae0d589ff259102e1c680a4edd4bd0c93ea0/

公開期間
キャンペーン規模
「開催期間」と「見込み瞬間アクセス数」を選択ください。
概算で構いません。"
【スタンプラリー】Step6. テンプレートを選択,"テンプレートを選択します。
画像左側から
1.スタンダードタイプ（マス目の枠あり）
2.シルエットタイプ
3.パズルタイプ
1.スタンダードタイプ
マス目状の台紙にスタンプが押印されるタイプです。
スタンプとシルエットが変更可能

2.シルエットタイプ
シルエットが並べられた台紙にあてはまる絵がはめられて押印されるタイプです。
絵スタンプとシルエットが変更可能です。

3.パズルタイプ
抜けた絵を集めていき、絵が完成するタイプです。
完成される絵の素材は変更可能です。"
【スタンプラリー】Step7.?スタンプ帳の設定,"スタンプの数
獲得可能なスタンプの総数を設定します。
※最大30個まで設定可能
カード1行あたりのスタンプ枠数
1行あたりに表示するスタンプの数を設定します。

ex）スタンプ総数を6にし、カード1行あたりのスタンプ枠数3とした場合、2行3列のスタンプ台紙となります。

※パソコンでの、プレビュー表示が崩れる場合がございます。大変申し訳ございませんが、ブラウザ表示の拡大率をご調整ください。公開されたコンテンツへの影響はございません。
特典提供スタンプ数
特典を付与するスタンプ獲得数を設定します。

ex）スタンプの数を6個にし、特典提供スタンプ数を5と6にした場合、合計5個スタンプを獲得すると特典Aが得られ、合計6個のスタンプを獲得すると特典Bも得ることができます。
スタンプ用QRコードの設定

●スタンプラリーサイトのQRコードと同じ背景デザインを使用する
スタンプラリーコンテンツのサイトと同じ背景を（手順の一番最初に作成したデザインQR）、スタンプ獲得用のQRコードにも使用します。

●スタンプごとに背景デザインを変更する
スタンプごとにQRコードの背景デザインを変更することができます。"
【スタンプラリー】Step8-1. スタンプ帳（スタンプ画像編集）,"スタンプ帳
スタンプラリーサイトのTOPページを編集することができます。
スタンプ画像の変更
スタンプとブランク（スタンプが押されていない時の表示）画像を変更することができます。
PNGまたはJPEGを選択してください。縦横比を維持し自動でリサイズします。
**PNGアニメーション（APNG）にも対応しています。**

1.編集ボタンをクリック

2.一括で変更または、個別に変更をします。
ドラッグで順番を入れ替え移動することも可能です。

スタンプ用QRコードの背景デザインを変更
※スタンプ帳の設定ページで、スタンプ用QRコードの設定を、「スタンプごとに背景画像を変更する」を選択している場合のみ変更できます。

選択していない場合は、制作初めに作成した、スタンプラリーコンテンツTOPページ用の背景画像が全てのスタンプ用QRコードに適応されます。（背景画像は同じですがQRコードはスタンプごとに違うURLとなっています。）
1.QRコードボタンをクリック

2.編集ボタンをクリック

3.QRコードを作成します。"
【スタンプラリー】Step8-3. スタンプ獲得,"スタンプ獲得した際に、表示される画面です。
テキスト、画像を編集することができます。
変更箇所
テキスト：文字色、背景色、フォントサイズ、フォントの太さ、ポジション位置

画像は、PNGまたはJPEGを選択してください。
縦横比を維持し自動でリサイズします。
**PNGアニメーション（APNG）にも対応しています。**

左側の「+」ボタンでブロックの追加が可能です。
ブロック追加



スタンプラリーのスタンプを集め達成した際に得られる、特典の紹介ページとなります。

特典獲得もこのページを経由します。

設定方法
画像、特典（ギフト）、特典獲得時に出現するボタン、ボタン部分が編集できます。

1.編集ボタンをクリック

2.各設定をします。"
【スタンプラリー】Step8-4. 特典提供,"スタンプラリーのスタンプを集め達成した際に得られる、特典の紹介ページとなります。

特典獲得もこのページを経由します。

設定方法
画像、特典（ギフト）、特典獲得時に出現するボタン、ボタン部分が編集できます。

1.編集ボタンをクリック

2.各設定をします。


左側の「+」ボタンでブロックの追加が可能です。
ブロック追加"
【スタンプラリー】Step8-5. 見せる引換,"特典獲得した参加者のみがアクセスできるページです。



設定方法
1.編集ボタンをクリック

2.各項目の編集をします。

左側の「+」ボタンでブロックの追加が可能です。
ブロック追加"
【スタンプラリー】Step8-6. 応募フォーム,"特典獲得した参加者のみがアクセスできるページです。

編集方法
1.各ボタンをクリックし、編集設定ください。

・編集ボタン：内容を変更編集できます。

・削除ボタン：ブロックを削除できます。

・リセットボタン：変更した編集をリセット（デフォルト設定に戻す）できます。

・ブロック追加ボタン：ブロックを追加できます。

※各ブロックは、マウスでドラッグすることで移動可能です。

フォームの回答内容の確認方法
フォームの回答内容はキュリアのサーバー内で管理しております。
回答内容の確認は「問い合わせ一覧」から可能です。

※回答が0件の場合、「問い合わせ一覧」は非表示になります。

■問い合わせ一覧画面の見方

・集計期間が選択できます。

・一覧で表示されている回答内容をCSVの形式でダウンロード可能です。"
【スタンプラリー】Step8-7. スタンプラリー終了後,"スタンプラリーの開催期間が終了した際に表示されるページの制作です。

※コンテンツ詳細設定ページにて、キャンペーン終了後に表示されるページをキュリアで制作するか、外部リンク先にするかの設定が可能です。

左側の「+」ボタンでブロックの追加が可能です。



ブロック追加"
【スタンプラリー】Step1. URL設定,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/92ae5a0f74b88a61d901a626eba72d98beac332b/"
【スタンプラリー】Step2.?背景画像をアップロード,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aba45f81e3c6710a0b29f6c234fbb953869356d5/"
【スタンプラリー】Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
【スタンプラリー】Step4. コンテンツ種類を選択,"コンテンツの種類を選択します。
スタンプコンテンツには「スタンプカード」と「スタンプラリー」の2種類あり、
今回はスタンプラリーを選択します。
設定方法
1.スタンプを選択します。

2.スタンプラリーを選択します。

＜ベータ版の理由＞
リリースしてからまだ日が浅いため機能改善が見込まれるためベータ版としております。

用意されているブロックを編集、移動、追加することで、TOPページを編集することができます。

設定方法
テキスト


ボタン
特典提供ページへリンクされるボタンを設置できます。

※追加したボタンブロックに関しては削除できますが、元から設置されているボタンは削除できません。

画像

※スタンプラリーの画像ブロックにはリンクは貼れません。
スポット（簡易版）

テキストのみで、スタンプ設置場所を表示できます。（テキスト編集可）

スポット

スタンプ設置場所を説明するブロックを変更することができます。

スポットブロック内の画像をクリックすると、スポット情報の詳細ページが展開します。

1.編集ボタンをクリック

2.各項目を編集設定します。




3.タイトル、説明文、画像、地図（設定/ONOFF）の編集をします。

※画像はPNGまたはJPEGを選択してください。画像：縦横比を維持し自動でリサイズします


ブロックの追加
左側の「+」ボタンでブロックの追加が可能です。"
【スタンプラリー】Step8-2. スタンプ帳(ブロック編集),"用意されているブロックを編集、移動、追加することで、TOPページを編集することができます。

設定方法
テキスト


ボタン
特典提供ページへリンクされるボタンを設置できます。

※追加したボタンブロックに関しては削除できますが、元から設置されているボタンは削除できません。

画像

※スタンプラリーの画像ブロックにはリンクは貼れません。
スポット（簡易版）

テキストのみで、スタンプ設置場所を表示できます。（テキスト編集可）

スポット

スタンプ設置場所を説明するブロックを変更することができます。

スポットブロック内の画像をクリックすると、スポット情報の詳細ページが展開します。

1.編集ボタンをクリック

2.各項目を編集設定します。




3.タイトル、説明文、画像、地図（設定/ONOFF）の編集をします。

※画像はPNGまたはJPEGを選択してください。画像：縦横比を維持し自動でリサイズします


ブロックの追加
左側の「+」ボタンでブロックの追加が可能です。"
【スタンプラリー】Step9. プレビュー,"設定した内容が確認できる画面です。
設定方法
1.設定内容を確認してください。
2.修正があれば「戻る」で前の画面に戻ります。
3.コンテンツを完成させるには「完了」をクリックします。"
スタンプラリー機能を使用する際のApple ID＆Google IDアカウントもしくはLINEでログインをお願いする時に記載する注意書きの見本となるテキストはありますか？,"「スタンプ獲得履歴を保存するため、Apple、Google、LINEいずれかのアカウントとの連携をお願いしております（最初のスタンプ獲得時に入力画面が表示されます）。
連携しない場合、スタンプの獲得履歴が残らない可能性がございますのでご了承ください。
なお、アカウント情報はスタンプ獲得履歴保存のためだけに使用し、他の個人情報等は一切取得いたしません。」"
【スタンプカード】,"スマートフォンなどを利用しブラウザ上のスタンプカードに
スタンプを貯めることができるコンテンツです。
スタンプ取得用QRを読み込むことでスタンプが貯まり、
貯まったスタンプ数に応じて特典が付与され、引き換えできます。

?コンテンツ作成を行う
?スタンプ発行用ページのURLとPWがメールで届く
?動作確認を行う
?クライアント様へご納品（スタンプ発行用ページのURLとPWなど）
?コンテンツ運用中/運用後の利用状況確認

対象プラン
ビジネスプラン
コンテンツ利用の流れ
■コンテンツ制作者（キュリアご契約者様）が行うこと
■店舗や会場の係員が行うこと
?店舗管理画面（スタンプ発行用ページ）のURLにアクセス（スマートフォン、PCから可能）
?店舗管理画面を操作し、スタンプ取得用QRの発行（スタンプ喪失も同様）
?エンドユーザーにスタンプ取得用QRをかざしてもらう
?エンドユーザーのスマートフォンにスタンプが貯まり、特典の利用ができたら
引き換え画面を提示してもらい、特典の引き換えを行う
■エンドユーザー（キャンペーン参加者）が行うこと
?店舗や会場の係員からスタンプ取得用QRを発行してもらう
?スタンプ取得用QRをかざす
?スタンプが貯まる（スタンプ獲得前にフォームを設定した場合、フォームへの回答が必要）
?「マイページ」から貯まったスタンプカードの確認ができる
?特典引き換えができる数までスタンプが貯まったら、店舗や会場の係員に
引き換え画面を提示し特典のサービスを受ける"
【スタンプカード】Step5.??コンテンツ詳細,"Apple ID & Google アカウントでログイン　と　LINE でログイン　が選択できます。

会員登録は必須になります。
Cookie機能を利用してスタンプの獲得状況を管理することはできません。
会員登録数の上限：5000件　（1コンテンツ内ではなく、ご契約アカウント内での累計です。）


会員登録用フォーム
「フォームあり」に設定すると
フォームへの回答後、スタンプが獲得できるようになります。
別途フォームの設定が必要になります。
スタンプカードの有効期限
有効期限を指定できます。
【指定した日を有効期限とするパターン】
カレンダーメニューから日時を指定してください

【初回利用日から指定するパターン】
年と1ヶ月単位で指定できます。

【最終利用日から指定するパターン】
年と1ヶ月単位で指定できます。

コンテンツ作成後、スタンプカードの有効期限のパターンを変更することはできません。

変更を行いたい場合はリセット機能を使用し、コンテンツを一度リセットした後に変更ください。

スタンプカードの会員登録機能の設定や有効期限などを設定します。
設定方法

キャンペーン名称
管理画面TOPのコンテンツ一覧に表示されるコンテンツ名です。
管理しやすいコンテンツ名を設定ください。
メモ
管理画面内でのみ表示されます。コンテンツ管理の際に設定しておくと便利です。
公開期限
コンテンツ公開期間を設定します。指定がない場合、「常に公開」になります。
会員登録"
【スタンプカード】Step6. 景品交換の設定,"1枚のスタンプカードで複数の景品 もしくは　1枚のスタンプカードで１つの景品のみ　を選択してください。

コンテンツ作成後、景品交換の設定を変更することはできません。
変更をおこないたい場合はリセット機能を利用し、コンテンツを一度リセットした後に変更ください。

スタンプカードの仕様を選択します。
設定方法"
【スタンプカード】Step8-1. 画面の編集(スタンプカード),"左側の「+」ボタンでブロックの追加が可能です。

スタンプカード画面の編集ができます。
設定方法
スタンプ画像の変更
スタンプとブランク（スタンプが押されていない時の表示）画像を変更することができます。
PNGまたはJPEGを選択してください。縦横比を維持し自動でリサイズします。
**PNGアニメーション（APNG）にも対応しています。**

1.編集ボタンをクリック

2.一括で変更または、個別に変更をします。
ドラッグで順番を入れ替え移動することも可能です。

ヘッダーの編集

表示のON・OFFの設定ができます。
編集メニューからヘッダー画像やアイコンの差し替えなどが可能です。

■マイページボタンの編集


※ヘッダー、マイページを表示OFFにする場合の注意点
マイページより保有中の各スタンプカードに遷移できます。

特典の利用画面や、スタンプ数の確認などで保有中のスタンプカードの画面に遷移する場合マイページを開く必要があります。
ヘッダー、マイページを表示OFF（非表示）にするとマイページアイコンも非表示になりマイページへの遷移先がなくなります。
そのため、マイページがヘッダー内に設置されているためヘッダーの表示は「ON」なおかつ、マイページのステータスは「表示」でご利用いただくことをおすすめいたします。

ヘッダー以外の場所から、マイページに遷移する場合
「リンクブロック」を追加いただきURL指定でマイページを設定し対応することも可能です。
マイページのURL：https://qlear.cloud/users/mypage/stamp_cards
ブロック追加"
【スタンプカード】スタンプカード一覧（ログ）,"スタンプカードの利用状況（ログ）が確認できます。

Apple ID、Googleアカウント、LINEアカウントを使って会員登録し利用するため、スタンプカード所有者が各種アカウントをもとに特定でき、保有カード状況やポイント履歴が確認できます。
操作方法
1.コンテンツ一覧の画面で確認したいコンテンツの「スタンプカード一覧」をクリックします。
引換済みの場合、クリックすると各種特典ごとに引換日時が確認できます。

2.スタンプカード一覧が表示されます。
集計期間をカレンダーから指定し「集計する」をクリックし期間をしています。

3.CSVダウンロードを行う場合、項目を指定し「CSVダウンロード」をクリックします。

保有カード状況

特典が引き換え済みの場合「引換日」が表示されます。
コンテンツ作成時に有効期限を設定した場合「有効期限」が表示されます。
ステータス

ポイント履歴"
【スタンプカード】Step1. URL設定,"別ページでご説明しております。こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/92ae5a0f74b88a61d901a626eba72d98beac332b/"
【スタンプカード】Step2.?背景画像をアップロード,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/aba45f81e3c6710a0b29f6c234fbb953869356d5/"
【スタンプカード】Step3. QR生成,"別ページでご説明しております。
こちらをご参照ください。

https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/b8aa4a2781c890fd5c36a3c500779209b36ec277/"
【スタンプカード】Step4. コンテンツ種類を選択,"コンテンツの種類を選択します。
スタンプコンテンツには「スタンプカード」と「スタンプラリー」の2種類あり、
今回はスタンプカードを選択します。
設定方法
1.スタンプを選択します。

2.スタンプカードを選択します

＜ベータ版の理由＞
リリースしてからまだ日が浅いため機能改善が見込まれるためベータ版としております。"
Step7. スタンプカードの設定,"総スタンプ数、特典獲得に必要なスタンプ数とスタンプカードの台紙のデザインが設定できます。
設定方法
スタンプの数
獲得可能なスタンプの総数を設定します。
※最大200個まで設定可能
カード1行あたりのスタンプ枠数
1行あたりに表示するスタンプの数を設定します。

ex）スタンプ総数を6にし、カード1行あたりのスタンプ枠数3とした場合、2行3列のスタンプ台紙となります。

※パソコンでの、プレビュー表示が崩れる場合がございます。大変申し訳ございませんが、ブラウザ表示の拡大率をご調整ください。公開されたコンテンツへの影響はございません。
特典提供スタンプ数
特典を付与するスタンプ獲得数を設定します。

Step6. ?景品交換の設定で「1枚のスタンプカードで複数の景品」を選択した場合、特典を増やす、減らすで複数の景品獲得に必要なスタンプ数を設定します。
店舗管理画面のパスワード

スタンプ獲得用のQRを発行する店舗管理画面にログインする時に利用するパスワードを設定します。
8文字以上の半角英数字を設定してください。

（店舗管理画面ログインでパスワードを利用する画面のイメージ）"
【スタンプカード】Step8-2. 画面の編集(ポイント獲得),"スタンプ（ポイント）を獲得した直後に表示される画面の編集ができます。
設定方法
変更可能箇所
テキスト：文字色、背景色、フォントサイズ、フォントの太さ、ポジション位置

画像は、PNGまたはJPEGを選択してください。
縦横比を維持し自動でリサイズします。
**PNGアニメーション（APNG）にも対応しています。**"
【スタンプカード】Step8-3. 見せる引換,"景品（特典）に応じたスタンプ数を獲得したユーザーがアクセス出来るページを編集できます。
1枚のカードで複数の景品（特典）を設定している場合、景品分の設定が必要です。
設定方法
1.編集ボタンをクリックします

2.各項目の編集をします。

ブロック追加
左側の「+」ボタンでブロックの追加が可能です。"
【スタンプカード】Step8-4. フォーム,"コンテンツ詳細で「会員登録フォームあり」を選択した場合に
利用するフォームの設定ができます。

設定方法
別ページでご説明しております。
こちらをご参照ください。
※フォームコンテンツの操作方法と同様です。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/a0bf60b70fd84701c6254f31cfe9090836c782ba/"
【スタンプカード】Step9. プレビュー,"設定した内容が確認できる画面です。
設定方法
1.設定内容を確認してください。
2.修正があれば「戻る」で前の画面に戻ります。
3.コンテンツを完成させるには「完了」をクリックします。"
【スタンプカード】店舗管理画面_ログイン方法,"店舗管理画面ではスタンプを獲得、剥奪するためのQRコードの生成を行うことができます。
スタンプ毎に毎回QRコードを生成します。

スマートフォンからのアクセス、操作も可能です。
ログイン方法
1.スタンプカード作成時に送信されているメールから
スタンプ獲得用QR発行用のURL（ショップ画面のURL）にアクセスします。
パスワードが設定されていますのでメールに記載された内容を入力してアクセスしてください。

■メール情報
送信元アドレス：support@qlear.cloud
件名：【重要】スタンプカード管理画面URLのお知らせ
記載内容：ショップ画面のURL、パスワード

2.URLにアクセスしログイン情報を入力する。"
店舗管理画面_スタンプ取得/喪失用QRコードの発行方法,"店舗やイベント会場のスタッフの方が行う作業です。
QRコードをかざしたらいくつスタンプが貯まるか（減るか）の設定と
QRコードの有効期限を設定し発行します。
発行したQRコードを来店者（来場者）が読み取るとスタンプが取得（もしくは喪失）されます。

発行後のQRコードは有効期限内であれば複数の環境でスタンプ取得が可能です。
スタンプ取得用QR発行用のURL（ショップ画面のURL）はスマートデバイスでのアクセスが可能です。

QRコードを読み取りスタンプを取得した端末で同じQRコードを読み込んだ場合、「既に取得済みのスタンプです。」と表示されます。

追加のスタンプを取得する場合は、新たにスタンプ取得用QRコードを発行してください。
操作方法
1.発行スタンプ数と有効期限を設定します

2.設定後、QR生成をクリックすると画面上部にQRコードが発行されます。
こちらを来店者（来場者）に読み取りをお願いしてください。
有効期限は120分以下を設定してください。121分以上を入力すると自動に120分に変更されます。

（イメージ）1個のスタンプが取得できるQRコードを発行する場合　　有効期限は60分

誤って多くスタンプを発行してしまった場合の喪失用のQRコードの発行方法
喪失（減らす）する場合、獲得後のスタンプを減らすためのQRコードを発行し、
来店者（来場者）が読み取ると獲得後のスタンプが減ります。

スタンプ獲得用QR発行と同様、ショップURL画面にアクセスし、
有効期限とマイナス記号（?）を利用し、いくつ減らすかを設定後QR生成をクリックします。
（イメージ）2個のスタンプが喪失されるQRコードを発行する場合　　有効期限は10分"
【スタンプカード】コンテンツ作成後の動作確認方法,"用意するもの
・QR読み込みしスタンプを貯めるためのスマートフォン
・店舗管理画面にログインするためのスマートフォン（またはパソコン）

手順
1.店舗管理画面のログイン情報が記載されたメールを確認していただく

2.店舗管理画面にログインしていただく（スマートフォンまたはパソコン）
参考ページ：https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/0af4bdbc92f18dc8a11a371b852bdca6625cc862/

3.スタンプ取得QRコードを発行します
参考ページ：https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/2a3f1cdb156dfe96310ec1d3493293d5ca982b86/

4.発行されたスタンプ取得QRコードを読み込みます

5.会員ログインを行います

6.「会員登録用フォームあり」の場合、設定したフォームが表示され
回答できるか確認します

7.指定したスタンプ数が貯まったか確認します
（特典が獲得できるまでのスタンプ数を貯めてください）

8.マイページから対象のカードに移り特典が利用できるか確認してください"
【ギフト|】,"キャンペーン（ガチャ）の当選結果により特典の種類を組み合わせ

特典を出し分けすることができます。

通常のガチャと同様、1等から10等まで設定可能です。
特典の種類
?フォーム　?コード　?クーポン　?はずれ
使用例
1等→amazonギフト券5000円分（コード）

2等→amazonギフト券1000円分（コード）

3等→店舗で利用できる割引クーポン（クーポン）

4等→アンケートに回答し応募（フォーム）

5等→はずれ


コードについて
amazonギフト券のような、ギフトコードの提供を想定した機能です。

CSVで任意の値を複数設定できます。

※バリアブル機能（対象プランの制限あり）と併せて利用されることを推奨としております。

"
【ギフト|CSV】Step6-2. コード設定,"抽選結果画面内に表示できるコードで、キャンペーン当選者に
それぞれ異なるコードを提供できる機能です。

使用例
ガチャ当選者にamazonギフト券の引き換えコードをプレゼントする　など
設定方法
あたり設定のメニューで操作します

1.コードを利用する等で「コード」を選択する

2.CSVを選択からコードが記載されたCSVデータを設定

CSVデータの作成方法
CSVテンプレートがダウンロードできますのでこのデータを参考に作成を行うとスムーズです。

■ExcelなどでCSVデータ作成時の場合

?セルA1にはコードと入力

?セルA2以降に利用するコードの値を入力

?.csvの形式で保存

CSV関連の参考情報
＜CSVファイルが文字化けします。＞
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/330c7f2a3a33f8cfd6b466002c0a102c8f636bf6/"
【ギフト】Step6-1. あたり設定,"くじの総数に対して、各等を何枚出すかを設定します。
各等の種類も設定します。
設定方法
1.何等までにするかを設定する

追加する場合は画面下の「追加」をクリックしてください

追加した等を削除する場合は左端の「×」をクリックしてください

 

2.くじの総数を設定する

何枚くじを設定するか数値を入力します

 

3.各等の枚数と特典の種類を設定する

枚数は数値を入力、種類の設定は4つの中の1つを選択します
設定例"
【ギフト】Step5. コンテンツ詳細,"1.キャンペーン名称：管理画面（コンテンツ一覧）にコンテンツ名として出てきます。


2.メモ：必要な情報があれば入力してください。

 
3.公開期間：コンテンツの公開期間を設定します。キャンペーン期間以上の期間を設定してください。

 
4.クーポン利用期間終了後の表示ページ：「キュリア内で表示ページを作成」もしくは「外部リンク」が選択できます。「外部リンク」の場合URLを指定してください。

 
5.クーポン利用期間：クーポンが利用できる期間を設定します。期間を指定する場合はキャンペーン期間内の日付を指定してください。

 別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/394a02feee3d5a3f354c32f0e78b65ab26efdb46/

6.キャンペーン規模
「開催期間」と「見込み瞬間アクセス数」を選択ください。
概算で構いません。

7.会員登録：「する」「しない」を選択できます。
「しない」場合はクッキー（Cookie）で抽選状況、抽選結果、特典利用状況などを管理します。
クッキー保存日時も指定してください。

別ページでご説明しております。
こちらをご参照ください。
https://tayori.com/faq/0907e81a5504cfabd50c758d690d70abbc4a280b/detail/7c44ae0d589ff259102e1c680a4edd4bd0c93ea0/
"
